hrrnum,mean_price,sd,p25,p50,p75,volume,share_HOPD,share_aboveRP,cv,p7525_ratio,cv
270,2095.929,848.3895,1550.65,1953.2,2481.53,5749,0.972517,0.7818751,0.4047796,1.600315997,0.404779694
273,1283.828,708.1123,900,1199.99,1459.5,70475,0.586364,0.2398013,0.5515632,1.621666667,0.551563216
274,1657.347,835.5734,1148.44,1426.52,1915.005,1976,0.7904859,0.4296559,0.5041632,1.667483717,0.50416322
275,1468.331,900.0646,862.75,1206.085,1776.845,292,0.7431507,0.369863,0.612985,2.059513185,0.612984811
276,2015.554,1072.016,1292,1788.21,2395.41,769,0.9349805,0.6749025,0.5318716,1.854032508,0.531871634
277,1374.214,1083.548,803,803,1560.6,4737,0.5676588,0.2607135,0.7884856,1.943462017,0.788485636
278,1741.053,919.1287,1198,1472,2083.51,19065,0.4262785,0.485497,0.5279153,1.739156928,0.527915405
279,1145.737,1036.388,477,819,1365,11814,0.4424412,0.203826,0.9045606,2.86163522,0.904560122
280,984.5788,753.3068,600,776.02,1050,6161,0.1042039,0.1160526,0.7651056,1.75,0.765105647
281,2276.327,1083.74,1568,2054.445,2680.47,1282,0.8627145,0.8549142,0.4760915,1.709483418,0.476091528
282,2359.951,1467.477,1281,2121.725,2922.35,9258,0.6904299,0.6856772,0.621825,2.281303669,0.621825199
283,1487.109,1223.742,650,1060,1872,35688,0.2386516,0.3350426,0.8229,2.88,0.822900003
284,1925.331,1371.915,900,1625,2322.22,14164,0.2640497,0.5356538,0.7125604,2.580244444,0.712560593
285,1538.735,1186.494,648,1108,2069,24622,0.1887337,0.389814,0.7710837,3.192901235,0.77108404
288,1607.302,1210.039,820,1250,1765.995,21416,0.2831528,0.3593108,0.7528389,2.153652439,0.752838608
289,1553.176,1190.641,680,1250,1910,17826,0.2392573,0.3916751,0.7665851,2.808823529,0.766584727
291,1625.543,1356.382,850,1109,1906,4744,0.1680017,0.3499157,0.8344175,2.242352941,0.834417791
292,2202.917,1300.324,1493.15,1910,2639.79,6632,0.3516285,0.7474366,0.5902737,1.767933563,0.590273714
293,1617.628,1281.906,603,1034.35,2438.8,10573,0.4288282,0.4101012,0.79246,4.044444444,0.792460318
295,1926.909,1273.646,949,1581.22,2604.985,7412,0.6219644,0.530626,0.6609788,2.744978925,0.660978801
296,2244.641,1077.185,1408.59,2200.68,2868.75,2029,0.8876294,0.6663381,0.4798918,2.036611079,0.479891885
297,1978.512,1121.06,1346,1614.695,2346.63,4220,0.4199052,0.5604265,0.5666175,1.743410104,0.566617741
299,1272.202,674.573,755,1155.08,1608.74,3380,0.6142012,0.3032544,0.5302405,2.130781457,0.530240481
300,1595.898,902.171,950,1370.355,1983.6,1880,0.7164894,0.4255319,0.5653062,2.088,0.565306179
301,2060.496,1166.954,1245,1751,2564.24,20975,0.3853159,0.6253158,0.5663463,2.059630522,0.566346161
303,2284.42,1488.227,1443.315,1789.845,2604.81,22860,0.4231409,0.7132108,0.651468,1.804741169,0.651468206
